transaction_id,customer_id,amount,payment_method,failure_reason,timestamp,status,attempt_number
TXN_00022,CUST_1039,15000.0,UPI,NONE,2026-08-31 16:05:12,SUCCESS,2
TXN_00023,CUST_1049,999.0,Debit Card,INSUFFICIENT_FUNDS,2026-08-06 16:05:12,FAILED,1
TXN_00024,CUST_1049,4999.0,Debit Card,NONE,2026-08-23 16:05:12,SUCCESS,1
TXN_00025,CUST_1019,250.0,Net Banking,AUTH_TIMEOUT,2026-08-24 16:05:12,FAILED,1
TXN_00026,CUST_1007,1499.0,Credit Card,AUTH_TIMEOUT,2026-08-10 16:05:12,FAILED,3
TXN_00027,CUST_1005,2999.0,UPI,EXPIRED_CARD,2026-08-15 16:05:12,FAILED,1
TXN_00028,CUST_1039,4999.0,Credit Card,NONE,2026-08-10 16:05:12,SUCCESS,3
TXN_00029,CUST_1035,499.0,Credit Card,EXPIRED_CARD,2026-08-27 16:05:12,FAILED,1
TXN_00030,CUST_1044,4999.0,UPI,NONE,2026-08-23 16:05:12,SUCCESS,1
TXN_00031,CUST_1009,2999.0,UPI,NETWORK_ERROR,2026-08-31 16:05:12,FAILED,1
TXN_00032,CUST_1008,1499.0,UPI,INSUFFICIENT_FUNDS,2026-08-29 16:05:12,FAILED,1
TXN_00033,CUST_1045,8999.0,Net Banking,AUTH_TIMEOUT,2026-08-07 16:05:12,FAILED,2
TXN_00034,CUST_1039,8999.0,UPI,NONE,2026-08-06 16:05:12,SUCCESS,1
TXN_00035,CUST_1045,1499.0,Net Banking,EXPIRED_CARD,2026-08-28 16:05:12,FAILED,3
TXN_00036,CUST_1041,1499.0,UPI,INSUFFICIENT_FUNDS,2026-08-08 16:05:12,FAILED,1
TXN_00037,CUST_1025,4999.0,UPI,BANK_SERVER_DOWN,2026-08-24 16:05:12,FAILED,3
TXN_00038,CUST_1032,15000.0,Debit Card,NETWORK_ERROR,2026-08-25 16:05:12,FAILED,2
TXN_00039,CUST_1037,499.0,Debit Card,NONE,2026-08-21 16:05:12,SUCCESS,1
TXN_00040,CUST_1049,2999.0,Debit Card,AUTH_TIMEOUT,2026-08-20 16:05:12,FAILED,1
TXN_00041,CUST_1011,2999.0,Net Banking,BANK_SERVER_DOWN,2026-08-08 16:05:12,FAILED,2
TXN_00042,CUST_1026,1499.0,Credit Card,EXPIRED_CARD,2026-08-31 16:05:12,FAILED,1
TXN_00043,CUST_1036,250.0,Net Banking,INSUFFICIENT_FUNDS,2026-09-04 16:05:12,FAILED,3
TXN_00044,CUST_1020,2999.0,Credit Card,AUTH_TIMEOUT,2026-08-07 16:05:12,FAILED,1
TXN_00045,CUST_1005,15000.0,Net Banking,BANK_SERVER_DOWN,2026-08-09 16:05:12,FAILED,3
TXN_00046,CUST_1005,499.0,UPI,INSUFFICIENT_FUNDS,2026-08-25 16:05:12,FAILED,3
TXN_00047,CUST_1026,999.0,Credit Card,NONE,2026-08-19 16:05:12,SUCCESS,3
TXN_00048,CUST_1033,250.0,Credit Card,NETWORK_ERROR,2026-08-20 16:05:12,FAILED,2
TXN_00049,CUST_1017,999.0,Debit Card,NETWORK_ERROR,2026-08-13 16:05:12,FAILED,3
TXN_00050,CUST_1037,2999.0,Net Banking,INSUFFICIENT_FUNDS,2026-08-22 16:05:12,FAILED,1
TXN_00051,CUST_1045,250.0,Net Banking,BANK_SERVER_DOWN,2026-08-08 16:05:12,FAILED,1
TXN_00052,CUST_1034,499.0,Credit Card,NONE,2026-08-24 16:05:12,SUCCESS,1
TXN_00053,CUST_1044,250.0,UPI,NONE,2026-08-19 16:05:12,SUCCESS,3
TXN_00054,CUST_1021,8999.0,Net Banking,NONE,2026-08-30 16:05:12,SUCCESS,2
TXN_00055,CUST_1034,4999.0,Credit Card,AUTH_TIMEOUT,2026-08-17 16:05:12,FAILED,1
TXN_00056,CUST_1038,4999.0,Debit Card,NONE,2026-08-13 16:05:12,SUCCESS,1
TXN_00057,CUST_1017,15000.0,Debit Card,INSUFFICIENT_FUNDS,2026-08-26 16:05:12,FAILED,1
TXN_00058,CUST_1020,2999.0,Credit Card,NONE,2026-09-03 16:05:12,SUCCESS,3
TXN_00059,CUST_1043,8999.0,Debit Card,INSUFFICIENT_FUNDS,2026-08-13 16:05:12,FAILED,1
TXN_00060,CUST_1016,15000.0,Net Banking,INSUFFICIENT_FUNDS,2026-09-02 16:05:12,FAILED,1
TXN_00061,CUST_1027,499.0,Wallet,AUTH_TIMEOUT,2026-08-17 16:05:12,FAILED,3
TXN_00062,CUST_1005,4999.0,Net Banking,NETWORK_ERROR,2026-08-30 16:05:12,FAILED,1
TXN_00063,CUST_1005,499.0,Net Banking,INSUFFICIENT_FUNDS,2026-08-22 16:05:12,FAILED,1
TXN_00064,CUST_1045,8999.0,Net Banking,INSUFFICIENT_FUNDS,2026-08-14 16:05:12,FAILED,1
TXN_00065,CUST_1048,15000.0,Credit Card,NONE,2026-08-19 16:05:12,SUCCESS,1
TXN_00066,CUST_1015,4999.0,UPI,NONE,2026-08-10 16:05:12,SUCCESS,2
TXN_00067,CUST_1023,499.0,Debit Card,AUTH_TIMEOUT,2026-08-12 16:05:12,FAILED,1
TXN_00068,CUST_1007,999.0,Credit Card,NONE,2026-08-21 16:05:12,SUCCESS,2
TXN_00069,CUST_1045,999.0,Net Banking,INSUFFICIENT_FUNDS,2026-08-13 16:05:12,FAILED,3
TXN_00070,CUST_1028,4999.0,UPI,NONE,2026-08-10 16:05:12,SUCCESS,2
TXN_00071,CUST_1025,1499.0,UPI,BANK_SERVER_DOWN,2026-09-02 16:05:12,FAILED,1
TXN_00072,CUST_1045,4999.0,Net Banking,BANK_SERVER_DOWN,2026-08-21 16:05:12,FAILED,1
TXN_00073,CUST_1044,1499.0,UPI,BANK_SERVER_DOWN,2026-09-03 16:05:12,FAILED,1
TXN_00074,CUST_1045,2999.0,Net Banking,NONE,2026-08-14 16:05:12,SUCCESS,3
TXN_00075,CUST_1006,4999.0,Wallet,AUTH_TIMEOUT,2026-08-06 16:05:12,FAILED,1
TXN_00076,CUST_1003,1499.0,Credit Card,BANK_SERVER_DOWN,2026-08-16 16:05:12,FAILED,2
TXN_00077,CUST_1011,250.0,Wallet,NONE,2026-08-06 16:05:12,SUCCESS,1
TXN_00078,CUST_1002,999.0,UPI,NETWORK_ERROR,2026-08-24 16:05:12,FAILED,3
TXN_00079,CUST_1006,1499.0,Wallet,INSUFFICIENT_FUNDS,2026-08-16 16:05:12,FAILED,1
TXN_00080,CUST_1012,4999.0,Credit Card,NETWORK_ERROR,2026-08-06 16:05:12,FAILED,1
TXN_00081,CUST_1036,4999.0,Net Banking,BANK_SERVER_DOWN,2026-08-12 16:05:12,FAILED,1
TXN_00082,CUST_1005,15000.0,Net Banking,BANK_SERVER_DOWN,2026-08-16 16:05:12,FAILED,1
TXN_00083,CUST_1037,15000.0,UPI,AUTH_TIMEOUT,2026-08-06 16:05:12,FAILED,1
TXN_00084,CUST_1005,4999.0,Net Banking,NONE,2026-08-15 16:05:12,SUCCESS,1
TXN_00085,CUST_1009,15000.0,Debit Card,EXPIRED_CARD,2026-08-07 16:05:12,FAILED,1
TXN_00086,CUST_1041,999.0,UPI,NETWORK_ERROR,2026-08-31 16:05:12,FAILED,3
TXN_00087,CUST_1019,1499.0,Net Banking,INSUFFICIENT_FUNDS,2026-08-23 16:05:12,FAILED,1
TXN_00088,CUST_1025,15000.0,UPI,AUTH_TIMEOUT,2026-08-07 16:05:12,FAILED,1
TXN_00089,CUST_1023,250.0,Debit Card,INSUFFICIENT_FUNDS,2026-08-21 16:05:12,FAILED,1
TXN_00090,CUST_1014,4999.0,Debit Card,AUTH_TIMEOUT,2026-08-29 16:05:12,FAILED,1
TXN_00091,CUST_1008,8999.0,UPI,NETWORK_ERROR,2026-09-04 16:05:12,FAILED,2
TXN_00092,CUST_1030,4999.0,Credit Card,INSUFFICIENT_FUNDS,2026-09-04 16:05:12,FAILED,3
TXN_00093,CUST_1037,1499.0,Net Banking,BANK_SERVER_DOWN,2026-08-26 16:05:12,FAILED,3
TXN_00094,CUST_1010,8999.0,Credit Card,NONE,2026-08-21 16:05:12,SUCCESS,2
TXN_00095,CUST_1045,2999.0,Wallet,EXPIRED_CARD,2026-08-24 16:05:12,FAILED,3
TXN_00096,CUST_1002,1499.0,Debit Card,BANK_SERVER_DOWN,2026-08-25 16:05:12,FAILED,1
TXN_00097,CUST_1005,15000.0,Net Banking,NONE,2026-08-30 16:05:12,SUCCESS,1
TXN_00098,CUST_1046,15000.0,UPI,NONE,2026-08-06 16:05:12,SUCCESS,1
TXN_00099,CUST_1025,1499.0,Net Banking,EXPIRED_CARD,2026-08-20 16:05:12,FAILED,2
TXN_00100,CUST_1005,499.0,Net Banking,INSUFFICIENT_FUNDS,2026-08-08 16:05:12,FAILED,1
TXN_00101,CUST_1009,15000.0,UPI,INSUFFICIENT_FUNDS,2026-08-14 16:05:12,FAILED,1
TXN_00102,CUST_1023,4999.0,Wallet,NONE,2026-09-01 16:05:12,SUCCESS,1
TXN_00103,CUST_1001,15000.0,UPI,NETWORK_ERROR,2026-08-21 16:05:12,FAILED,1
TXN_00104,CUST_1009,250.0,UPI,AUTH_TIMEOUT,2026-08-16 16:05:12,FAILED,1
TXN_00105,CUST_1026,499.0,Credit Card,AUTH_TIMEOUT,2026-09-03 16:05:12,FAILED,1
TXN_00106,CUST_1017,999.0,Debit Card,AUTH_TIMEOUT,2026-08-14 16:05:12,FAILED,1
TXN_00107,CUST_1007,250.0,Wallet,NONE,2026-08-07 16:05:12,SUCCESS,1
TXN_00108,CUST_1022,8999.0,Credit Card,INSUFFICIENT_FUNDS,2026-08-16 16:05:12,FAILED,1
TXN_00109,CUST_1049,8999.0,Debit Card,NONE,2026-08-07 16:05:12,SUCCESS,1
TXN_00110,CUST_1007,8999.0,Credit Card,AUTH_TIMEOUT,2026-08-09 16:05:12,FAILED,1
TXN_00111,CUST_1032,2999.0,Debit Card,AUTH_TIMEOUT,2026-08-18 16:05:12,FAILED,1
TXN_00112,CUST_1014,4999.0,UPI,EXPIRED_CARD,2026-08-19 16:05:12,FAILED,1
TXN_00113,CUST_1030,250.0,Credit Card,NETWORK_ERROR,2026-08-13 16:05:12,FAILED,1
TXN_00114,CUST_1032,1499.0,Debit Card,INSUFFICIENT_FUNDS,2026-08-13 16:05:12,FAILED,2
TXN_00115,CUST_1032,250.0,Debit Card,INSUFFICIENT_FUNDS,2026-08-13 16:05:12,FAILED,1
TXN_00116,CUST_1024,250.0,Wallet,NETWORK_ERROR,2026-09-02 16:05:12,FAILED,1
TXN_00117,CUST_1033,999.0,Credit Card,AUTH_TIMEOUT,2026-08-20 16:05:12,FAILED,2
TXN_00118,CUST_1037,8999.0,Credit Card,INSUFFICIENT_FUNDS,2026-08-13 16:05:12,FAILED,3
TXN_00119,CUST_1019,1499.0,Debit Card,BANK_SERVER_DOWN,2026-09-03 16:05:12,FAILED,1
TXN_00120,CUST_1047,8999.0,Credit Card,BANK_SERVER_DOWN,2026-09-02 16:05:12,FAILED,2
TXN_00121,CUST_1020,4999.0,Credit Card,INSUFFICIENT_FUNDS,2026-09-03 16:05:12,FAILED,3
TXN_00122,CUST_1044,15000.0,Credit Card,INSUFFICIENT_FUNDS,2026-08-26 16:05:12,FAILED,1
TXN_00123,CUST_1046,499.0,UPI,AUTH_TIMEOUT,2026-08-19 16:05:12,FAILED,1
TXN_00124,CUST_1040,250.0,UPI,AUTH_TIMEOUT,2026-08-22 16:05:12,FAILED,2
TXN_00125,CUST_1026,8999.0,Credit Card,NETWORK_ERROR,2026-08-25 16:05:12,FAILED,1
TXN_00126,CUST_1021,499.0,Net Banking,INSUFFICIENT_FUNDS,2026-08-31 16:05:12,FAILED,1
TXN_00127,CUST_1038,499.0,Debit Card,NETWORK_ERROR,2026-08-09 16:05:12,FAILED,1
TXN_00128,CUST_1031,1499.0,UPI,NETWORK_ERROR,2026-08-11 16:05:12,FAILED,3
TXN_00129,CUST_1007,2999.0,Credit Card,NONE,2026-08-08 16:05:12,SUCCESS,1
TXN_00130,CUST_1046,250.0,Net Banking,NONE,2026-08-17 16:05:12,SUCCESS,3
TXN_00131,CUST_1036,999.0,Net Banking,AUTH_TIMEOUT,2026-09-01 16:05:12,FAILED,1
TXN_00132,CUST_1039,8999.0,UPI,NONE,2026-08-21 16:05:12,SUCCESS,3
TXN_00133,CUST_1033,1499.0,Net Banking,AUTH_TIMEOUT,2026-08-19 16:05:12,FAILED,1
TXN_00134,CUST_1045,2999.0,UPI,INSUFFICIENT_FUNDS,2026-08-27 16:05:12,FAILED,1
TXN_00135,CUST_1001,499.0,UPI,INSUFFICIENT_FUNDS,2026-08-29 16:05:12,FAILED,1
TXN_00136,CUST_1003,4999.0,Net Banking,BANK_SERVER_DOWN,2026-08-24 16:05:12,FAILED,1
TXN_00137,CUST_1037,250.0,Debit Card,NONE,2026-08-26 16:05:12,SUCCESS,1
TXN_00138,CUST_1049,2999.0,Debit Card,INSUFFICIENT_FUNDS,2026-08-13 16:05:12,FAILED,3
TXN_00139,CUST_1016,250.0,Net Banking,EXPIRED_CARD,2026-08-21 16:05:12,FAILED,1
TXN_00140,CUST_1026,499.0,Credit Card,INSUFFICIENT_FUNDS,2026-08-13 16:05:12,FAILED,1
TXN_00141,CUST_1021,8999.0,Net Banking,NETWORK_ERROR,2026-08-29 16:05:12,FAILED,1
TXN_00142,CUST_1048,499.0,Debit Card,NONE,2026-08-06 16:05:12,SUCCESS,2
TXN_00143,CUST_1039,8999.0,UPI,INSUFFICIENT_FUNDS,2026-08-22 16:05:12,FAILED,1
TXN_00144,CUST_1044,999.0,Credit Card,NONE,2026-08-28 16:05:12,SUCCESS,1
TXN_00145,CUST_1023,4999.0,UPI,INSUFFICIENT_FUNDS,2026-08-23 16:05:12,FAILED,1
TXN_00146,CUST_1033,4999.0,Credit Card,BANK_SERVER_DOWN,2026-08-13 16:05:12,FAILED,1
TXN_00147,CUST_1042,2999.0,Credit Card,NETWORK_ERROR,2026-08-18 16:05:12,FAILED,1
TXN_00148,CUST_1039,2999.0,Wallet,NETWORK_ERROR,2026-08-24 16:05:12,FAILED,1
TXN_00149,CUST_1016,499.0,Net Banking,NONE,2026-08-06 16:05:12,SUCCESS,1
TXN_00150,CUST_1039,250.0,UPI,AUTH_TIMEOUT,2026-08-23 16:05:12,FAILED,1
TXN_00151,CUST_1004,15000.0,Debit Card,INSUFFICIENT_FUNDS,2026-08-15 16:05:12,FAILED,1
TXN_00152,CUST_1015,1499.0,UPI,AUTH_TIMEOUT,2026-08-10 16:05:12,FAILED,3
TXN_00153,CUST_1037,499.0,Debit Card,NONE,2026-08-11 16:05:12,SUCCESS,2
TXN_00154,CUST_1004,4999.0,Net Banking,NONE,2026-08-15 16:05:12,SUCCESS,1
TXN_00155,CUST_1045,499.0,Debit Card,INSUFFICIENT_FUNDS,2026-08-19 16:05:12,FAILED,1
TXN_00156,CUST_1003,4999.0,Credit Card,NONE,2026-08-21 16:05:12,SUCCESS,1
TXN_00157,CUST_1009,2999.0,UPI,NONE,2026-08-09 16:05:12,SUCCESS,1
TXN_00158,CUST_1035,15000.0,Credit Card,AUTH_TIMEOUT,2026-09-02 16:05:12,FAILED,3
TXN_00159,CUST_1047,499.0,Net Banking,AUTH_TIMEOUT,2026-08-27 16:05:12,FAILED,1
TXN_00160,CUST_1028,499.0,UPI,EXPIRED_CARD,2026-08-26 16:05:12,FAILED,1
TXN_00161,CUST_1015,999.0,UPI,BANK_SERVER_DOWN,2026-08-12 16:05:12,FAILED,2
TXN_00162,CUST_1015,499.0,Debit Card,BANK_SERVER_DOWN,2026-08-30 16:05:12,FAILED,3
TXN_00163,CUST_1048,250.0,Credit Card,BANK_SERVER_DOWN,2026-08-28 16:05:12,FAILED,3
TXN_00164,CUST_1032,999.0,Debit Card,NONE,2026-08-12 16:05:12,SUCCESS,1
TXN_00165,CUST_1040,4999.0,UPI,AUTH_TIMEOUT,2026-08-20 16:05:12,FAILED,2
TXN_00166,CUST_1033,2999.0,UPI,INSUFFICIENT_FUNDS,2026-08-15 16:05:12,FAILED,1
TXN_00167,CUST_1036,8999.0,Net Banking,NETWORK_ERROR,2026-08-25 16:05:12,FAILED,3
TXN_00168,CUST_1031,999.0,UPI,NETWORK_ERROR,2026-08-06 16:05:12,FAILED,1
TXN_00169,CUST_1036,1499.0,Net Banking,BANK_SERVER_DOWN,2026-08-23 16:05:12,FAILED,1
TXN_00170,CUST_1049,499.0,Debit Card,EXPIRED_CARD,2026-08-12 16:05:12,FAILED,3
TXN_00171,CUST_1035,499.0,Debit Card,INSUFFICIENT_FUNDS,2026-09-03 16:05:12,FAILED,2
TXN_00172,CUST_1015,1499.0,UPI,EXPIRED_CARD,2026-09-01 16:05:12,FAILED,1
TXN_00173,CUST_1004,4999.0,Debit Card,INSUFFICIENT_FUNDS,2026-08-26 16:05:12,FAILED,1
TXN_00174,CUST_1022,499.0,UPI,NETWORK_ERROR,2026-08-24 16:05:12,FAILED,2
TXN_00175,CUST_1035,2999.0,Credit Card,AUTH_TIMEOUT,2026-09-04 16:05:12,FAILED,1
TXN_00176,CUST_1011,4999.0,Wallet,BANK_SERVER_DOWN,2026-08-07 16:05:12,FAILED,2
TXN_00177,CUST_1017,8999.0,UPI,NETWORK_ERROR,2026-08-07 16:05:12,FAILED,1
TXN_00178,CUST_1032,999.0,Net Banking,AUTH_TIMEOUT,2026-08-19 16:05:12,FAILED,2
TXN_00179,CUST_1028,2999.0,UPI,NONE,2026-08-09 16:05:12,SUCCESS,2
TXN_00180,CUST_1006,999.0,Wallet,INSUFFICIENT_FUNDS,2026-08-10 16:05:12,FAILED,2
TXN_00181,CUST_1038,250.0,Wallet,INSUFFICIENT_FUNDS,2026-08-12 16:05:12,FAILED,2
TXN_00182,CUST_1018,15000.0,UPI,EXPIRED_CARD,2026-08-22 16:05:12,FAILED,1
TXN_00183,CUST_1017,1499.0,Debit Card,NONE,2026-08-29 16:05:12,SUCCESS,1
TXN_00184,CUST_1029,499.0,Wallet,NONE,2026-09-02 16:05:12,SUCCESS,2
TXN_00185,CUST_1046,8999.0,UPI,INSUFFICIENT_FUNDS,2026-08-06 16:05:12,FAILED,2
TXN_00186,CUST_1020,250.0,Credit Card,EXPIRED_CARD,2026-08-14 16:05:12,FAILED,3
TXN_00187,CUST_1002,2999.0,UPI,INSUFFICIENT_FUNDS,2026-08-28 16:05:12,FAILED,3
TXN_00188,CUST_1018,8999.0,UPI,AUTH_TIMEOUT,2026-08-23 16:05:12,FAILED,1
TXN_00189,CUST_1033,999.0,Credit Card,NONE,2026-08-14 16:05:12,SUCCESS,1
TXN_00190,CUST_1024,15000.0,Net Banking,NONE,2026-08-21 16:05:12,SUCCESS,2
TXN_00191,CUST_1020,499.0,Credit Card,EXPIRED_CARD,2026-09-04 16:05:12,FAILED,1
TXN_00192,CUST_1033,2999.0,Wallet,EXPIRED_CARD,2026-08-10 16:05:12,FAILED,1
TXN_00193,CUST_1038,499.0,Debit Card,BANK_SERVER_DOWN,2026-08-26 16:05:12,FAILED,2
TXN_00194,CUST_1049,999.0,Debit Card,INSUFFICIENT_FUNDS,2026-08-30 16:05:12,FAILED,1
TXN_00195,CUST_1039,1499.0,UPI,BANK_SERVER_DOWN,2026-08-08 16:05:12,FAILED,2
TXN_00196,CUST_1047,1499.0,Credit Card,EXPIRED_CARD,2026-08-30 16:05:12,FAILED,1
TXN_00197,CUST_1022,250.0,UPI,EXPIRED_CARD,2026-08-26 16:05:12,FAILED,1
TXN_00198,CUST_1018,2999.0,Net Banking,AUTH_TIMEOUT,2026-08-10 16:05:12,FAILED,1
TXN_00199,CUST_1046,8999.0,UPI,NETWORK_ERROR,2026-08-13 16:05:12,FAILED,1
TXN_00200,CUST_1044,4999.0,UPI,NETWORK_ERROR,2026-08-12 16:05:12,FAILED,1
