attempt_id,customer_id,transaction_id,action,success,recovered_amount,recovery_cost,timestamp
ATT_00050,CUST_1038,TXN_00193,PAYMENT_LINK,1,499.0,2.5,2026-09-01 16:05:12
ATT_00051,CUST_1040,TXN_00124,HUMAN_ESCALATION,0,0.0,65.0,2026-08-16 16:05:12
ATT_00052,CUST_1007,TXN_00001,ALTERNATE_PAYMENT,1,250.0,5.0,2026-08-18 16:05:12
ATT_00053,CUST_1044,TXN_00200,RETRY_NOW,1,4999.0,0.5,2026-08-11 16:05:12
ATT_00054,CUST_1003,TXN_00076,RETRY_NOW,0,0.0,0.5,2026-08-12 16:05:12
ATT_00055,CUST_1042,TXN_00147,ALTERNATE_PAYMENT,1,2999.0,5.0,2026-08-22 16:05:12
ATT_00056,CUST_1012,TXN_00080,RETRY_LATER,1,4999.0,1.0,2026-08-26 16:05:12
ATT_00057,CUST_1015,TXN_00161,RETRY_LATER,1,999.0,1.0,2026-08-29 16:05:12
ATT_00058,CUST_1035,TXN_00158,REMINDER,1,15000.0,0.5,2026-08-25 16:05:12
ATT_00059,CUST_1006,TXN_00075,PAYMENT_LINK,1,4999.0,2.5,2026-08-28 16:05:12
ATT_00060,CUST_1050,TXN_00015,RETRY_LATER,1,2999.0,1.0,2026-09-01 16:05:12
ATT_00061,CUST_1039,TXN_00148,HUMAN_ESCALATION,1,2999.0,65.0,2026-08-15 16:05:12
ATT_00062,CUST_1016,TXN_00060,REMINDER,1,15000.0,0.5,2026-08-23 16:05:12
ATT_00063,CUST_1034,TXN_00002,ALTERNATE_PAYMENT,1,8999.0,5.0,2026-08-14 16:05:12
ATT_00064,CUST_1005,TXN_00011,HUMAN_ESCALATION,1,15000.0,65.0,2026-08-12 16:05:12
ATT_00065,CUST_1005,TXN_00027,PAYMENT_LINK,1,2999.0,2.5,2026-08-15 16:05:12
ATT_00066,CUST_1026,TXN_00042,INCENTIVE,1,1499.0,25.0,2026-08-25 16:05:12
ATT_00067,CUST_1032,TXN_00178,ALTERNATE_PAYMENT,1,999.0,5.0,2026-08-31 16:05:12
ATT_00068,CUST_1020,TXN_00186,HUMAN_ESCALATION,1,250.0,65.0,2026-08-18 16:05:12
ATT_00069,CUST_1039,TXN_00012,PAYMENT_LINK,1,2999.0,2.5,2026-08-19 16:05:12
ATT_00070,CUST_1031,TXN_00128,ALTERNATE_PAYMENT,0,0.0,5.0,2026-08-16 16:05:12
ATT_00071,CUST_1027,TXN_00061,RETRY_NOW,1,499.0,0.5,2026-08-14 16:05:12
ATT_00072,CUST_1015,TXN_00152,PAYMENT_LINK,1,1499.0,2.5,2026-08-25 16:05:12
ATT_00073,CUST_1037,TXN_00093,RETRY_NOW,1,1499.0,0.5,2026-09-02 16:05:12
ATT_00074,CUST_1046,TXN_00123,HUMAN_ESCALATION,0,0.0,65.0,2026-08-31 16:05:12
ATT_00075,CUST_1033,TXN_00166,ALTERNATE_PAYMENT,1,2999.0,5.0,2026-08-31 16:05:12
ATT_00076,CUST_1001,TXN_00008,RETRY_NOW,0,0.0,0.5,2026-09-01 16:05:12
ATT_00077,CUST_1049,TXN_00138,REMINDER,1,2999.0,0.5,2026-08-22 16:05:12
ATT_00078,CUST_1005,TXN_00011,ALTERNATE_PAYMENT,1,15000.0,5.0,2026-08-15 16:05:12
ATT_00079,CUST_1005,TXN_00082,ALTERNATE_PAYMENT,1,15000.0,5.0,2026-08-19 16:05:12
ATT_00080,CUST_1003,TXN_00136,RETRY_NOW,1,4999.0,0.5,2026-08-23 16:05:12
ATT_00081,CUST_1046,TXN_00185,RETRY_NOW,0,0.0,0.5,2026-08-12 16:05:12
ATT_00082,CUST_1015,TXN_00161,INCENTIVE,1,999.0,25.0,2026-08-20 16:05:12
ATT_00083,CUST_1006,TXN_00005,INCENTIVE,1,999.0,25.0,2026-08-31 16:05:12
ATT_00084,CUST_1033,TXN_00133,PAYMENT_LINK,1,1499.0,2.5,2026-08-30 16:05:12
ATT_00085,CUST_1033,TXN_00166,PAYMENT_LINK,1,2999.0,2.5,2026-08-15 16:05:12
ATT_00086,CUST_1004,TXN_00151,ALTERNATE_PAYMENT,1,15000.0,5.0,2026-08-23 16:05:12
ATT_00087,CUST_1039,TXN_00195,INCENTIVE,1,1499.0,25.0,2026-08-18 16:05:12
ATT_00088,CUST_1034,TXN_00002,REMINDER,1,8999.0,0.5,2026-08-27 16:05:12
ATT_00089,CUST_1020,TXN_00186,ALTERNATE_PAYMENT,0,0.0,5.0,2026-08-18 16:05:12
ATT_00090,CUST_1049,TXN_00040,ALTERNATE_PAYMENT,1,2999.0,5.0,2026-08-14 16:05:12
ATT_00091,CUST_1002,TXN_00096,RETRY_LATER,1,1499.0,1.0,2026-08-20 16:05:12
ATT_00092,CUST_1050,TXN_00006,PAYMENT_LINK,1,250.0,2.5,2026-09-03 16:05:12
ATT_00093,CUST_1031,TXN_00168,HUMAN_ESCALATION,1,999.0,65.0,2026-08-13 16:05:12
ATT_00094,CUST_1026,TXN_00140,RETRY_LATER,1,499.0,1.0,2026-08-25 16:05:12
ATT_00095,CUST_1047,TXN_00159,PAYMENT_LINK,1,499.0,2.5,2026-08-19 16:05:12
ATT_00096,CUST_1025,TXN_00037,REMINDER,0,0.0,0.5,2026-08-20 16:05:12
ATT_00097,CUST_1045,TXN_00155,RETRY_LATER,1,499.0,1.0,2026-08-15 16:05:12
ATT_00098,CUST_1038,TXN_00181,ALTERNATE_PAYMENT,0,0.0,5.0,2026-09-03 16:05:12
ATT_00099,CUST_1009,TXN_00021,REMINDER,0,0.0,0.5,2026-08-16 16:05:12
ATT_00100,CUST_1005,TXN_00046,PAYMENT_LINK,0,0.0,2.5,2026-09-03 16:05:12
ATT_00101,CUST_1045,TXN_00095,REMINDER,0,0.0,0.5,2026-08-17 16:05:12
ATT_00102,CUST_1033,TXN_00192,PAYMENT_LINK,0,0.0,2.5,2026-08-16 16:05:12
ATT_00103,CUST_1008,TXN_00091,ALTERNATE_PAYMENT,1,8999.0,5.0,2026-08-27 16:05:12
ATT_00104,CUST_1019,TXN_00087,HUMAN_ESCALATION,1,1499.0,65.0,2026-08-14 16:05:12
ATT_00105,CUST_1039,TXN_00012,RETRY_LATER,0,0.0,1.0,2026-08-12 16:05:12
ATT_00106,CUST_1046,TXN_00199,RETRY_LATER,0,0.0,1.0,2026-08-22 16:05:12
ATT_00107,CUST_1041,TXN_00086,ALTERNATE_PAYMENT,1,999.0,5.0,2026-08-22 16:05:12
ATT_00108,CUST_1035,TXN_00171,REMINDER,0,0.0,0.5,2026-08-31 16:05:12
ATT_00109,CUST_1031,TXN_00128,REMINDER,0,0.0,0.5,2026-08-17 16:05:12
ATT_00110,CUST_1019,TXN_00087,REMINDER,1,1499.0,0.5,2026-08-31 16:05:12
ATT_00111,CUST_1004,TXN_00151,RETRY_NOW,1,15000.0,0.5,2026-08-26 16:05:12
ATT_00112,CUST_1006,TXN_00079,RETRY_LATER,1,1499.0,1.0,2026-08-24 16:05:12
ATT_00113,CUST_1037,TXN_00050,ALTERNATE_PAYMENT,1,2999.0,5.0,2026-08-15 16:05:12
ATT_00114,CUST_1045,TXN_00064,PAYMENT_LINK,1,8999.0,2.5,2026-08-23 16:05:12
ATT_00115,CUST_1048,TXN_00163,PAYMENT_LINK,1,250.0,2.5,2026-08-25 16:05:12
ATT_00116,CUST_1009,TXN_00101,RETRY_LATER,1,15000.0,1.0,2026-08-21 16:05:12
ATT_00117,CUST_1022,TXN_00174,INCENTIVE,1,499.0,25.0,2026-08-19 16:05:12
ATT_00118,CUST_1045,TXN_00033,ALTERNATE_PAYMENT,1,8999.0,5.0,2026-08-12 16:05:12
ATT_00119,CUST_1020,TXN_00186,ALTERNATE_PAYMENT,0,0.0,5.0,2026-08-17 16:05:12
ATT_00120,CUST_1048,TXN_00163,HUMAN_ESCALATION,1,250.0,65.0,2026-09-01 16:05:12
ATT_00121,CUST_1032,TXN_00114,RETRY_NOW,0,0.0,0.5,2026-08-29 16:05:12
ATT_00122,CUST_1001,TXN_00103,RETRY_NOW,1,15000.0,0.5,2026-08-29 16:05:12
ATT_00123,CUST_1023,TXN_00067,RETRY_LATER,1,499.0,1.0,2026-08-15 16:05:12
ATT_00124,CUST_1022,TXN_00174,RETRY_LATER,0,0.0,1.0,2026-08-28 16:05:12
ATT_00125,CUST_1039,TXN_00143,ALTERNATE_PAYMENT,0,0.0,5.0,2026-08-21 16:05:12
ATT_00126,CUST_1049,TXN_00040,RETRY_NOW,0,0.0,0.5,2026-08-12 16:05:12
ATT_00127,CUST_1045,TXN_00035,PAYMENT_LINK,0,0.0,2.5,2026-08-15 16:05:12
ATT_00128,CUST_1022,TXN_00174,HUMAN_ESCALATION,0,0.0,65.0,2026-08-31 16:05:12
ATT_00129,CUST_1009,TXN_00031,REMINDER,1,2999.0,0.5,2026-08-16 16:05:12
ATT_00130,CUST_1009,TXN_00101,ALTERNATE_PAYMENT,1,15000.0,5.0,2026-08-12 16:05:12
ATT_00131,CUST_1041,TXN_00036,PAYMENT_LINK,1,1499.0,2.5,2026-08-12 16:05:12
ATT_00132,CUST_1015,TXN_00152,ALTERNATE_PAYMENT,1,1499.0,5.0,2026-08-31 16:05:12
ATT_00133,CUST_1011,TXN_00041,INCENTIVE,1,2999.0,25.0,2026-08-28 16:05:12
ATT_00134,CUST_1047,TXN_00196,RETRY_LATER,1,1499.0,1.0,2026-08-16 16:05:12
ATT_00135,CUST_1039,TXN_00143,PAYMENT_LINK,1,8999.0,2.5,2026-08-19 16:05:12
ATT_00136,CUST_1003,TXN_00010,INCENTIVE,1,250.0,25.0,2026-08-21 16:05:13
ATT_00137,CUST_1033,TXN_00146,INCENTIVE,0,0.0,25.0,2026-08-23 16:05:13
ATT_00138,CUST_1009,TXN_00104,PAYMENT_LINK,1,250.0,2.5,2026-08-11 16:05:13
ATT_00139,CUST_1045,TXN_00033,RETRY_LATER,1,8999.0,1.0,2026-08-13 16:05:13
ATT_00140,CUST_1036,TXN_00013,INCENTIVE,0,0.0,25.0,2026-08-11 16:05:13
ATT_00141,CUST_1035,TXN_00171,INCENTIVE,1,499.0,25.0,2026-08-20 16:05:13
ATT_00142,CUST_1032,TXN_00038,REMINDER,0,0.0,0.5,2026-08-15 16:05:13
ATT_00143,CUST_1046,TXN_00123,INCENTIVE,0,0.0,25.0,2026-09-03 16:05:13
ATT_00144,CUST_1011,TXN_00041,ALTERNATE_PAYMENT,0,0.0,5.0,2026-08-12 16:05:13
ATT_00145,CUST_1005,TXN_00063,REMINDER,0,0.0,0.5,2026-08-13 16:05:13
ATT_00146,CUST_1033,TXN_00146,REMINDER,1,4999.0,0.5,2026-08-21 16:05:13
ATT_00147,CUST_1012,TXN_00080,RETRY_LATER,1,4999.0,1.0,2026-09-02 16:05:13
ATT_00148,CUST_1029,TXN_00017,REMINDER,0,0.0,0.5,2026-08-11 16:05:13
ATT_00149,CUST_1039,TXN_00012,INCENTIVE,0,0.0,25.0,2026-08-22 16:05:13
ATT_00150,CUST_1032,TXN_00114,PAYMENT_LINK,1,1499.0,2.5,2026-08-28 16:05:13
